brand,n_conversations,deflection_rate,substantive_rate,thanks_rate,resolution_proxy,median_brand_turns,median_cust_turns,median_opening_words,learnability
AmazonHelp,82224,0.0128186417590971,0.21217649348122203,0.09426688071609263,0.026342673671920606,1.0,2.0,20.0,0.4946323542380179
hulu_support,14868,0.027979553403282217,0.34059725585149314,0.12725316115146623,0.043112725316115146,1.0,1.0,19.0,0.4793471251658679
AirAsiaSupport,6761,0.23132672681555982,0.4580683330868215,0.2153527584676823,0.08327170536902825,1.0,1.0,19.0,0.46586041063035727
AskPlayStation,12519,0.23556194584231968,0.4517932742231808,0.09633357296908698,0.036025241632718266,1.0,1.0,21.0,0.46348737590562183
GWRHelp,10632,0.011286681715575621,0.24548532731376976,0.19808126410835214,0.04796839729119639,1.0,2.0,21.0,0.4557899003334169
SW_Help,6155,0.007148659626320065,0.28870836718115356,0.1991876523151909,0.058976441917140535,1.0,2.0,21.0,0.454664812599322
VirginTrains,14761,0.028182372467989974,0.17973037057109953,0.19754759162658356,0.03915723866946684,1.0,2.0,21.0,0.4455706985924777
British_Airways,16340,0.16040391676866586,0.24687882496940025,0.19167686658506733,0.04467564259485924,1.0,1.0,21.0,0.4437467755185647
SpotifyCares,28221,0.3695829346940222,0.33815243967258424,0.14110059884483186,0.03674568583678821,1.0,1.0,19.0,0.44208838169796527
AppleSupport,80537,0.5202329364143189,0.3273898953276134,0.09123756782596819,0.02858313570160299,1.0,1.0,19.0,0.4418068629861829
MicrosoftHelps,4394,0.09763313609467456,0.3304506144742831,0.17569412835685025,0.05757851615839781,2.0,2.0,21.0,0.44016923629116417
AmericanAir,25940,0.17185813415574402,0.20578257517347726,0.1574402467232074,0.025944487278334618,1.0,1.0,21.0,0.43929656376363463
LondonMidland,3622,0.011043622308117063,0.25814467145223635,0.20623964660408614,0.05521811154058531,1.0,2.0,20.0,0.4328356367421169
AskCiti,2307,0.3237971391417425,0.588209796272215,0.09839618552232336,0.030775899436497615,1.0,1.0,21.0,0.43162680885722143
Safaricom_Care,9337,0.2343365106565278,0.3054514297954375,0.13848131091356966,0.04273321195244725,1.0,1.0,15.0,0.42910887507237616
XboxSupport,13333,0.28943223580589517,0.29543238580964526,0.12360309007725193,0.035550888772219305,1.0,2.0,21.0,0.4256101256079535
ChipotleTweets,14385,0.008967674661105318,0.11616266944734098,0.08745220716023636,0.009384775808133473,1.0,1.0,15.0,0.4246466461967298
SouthwestAir,21387,0.1798288680039276,0.15383176696123813,0.19577313321176415,0.027914153457707952,1.0,1.0,19.0,0.42337096906781546
marksandspencer,7925,0.12744479495268138,0.2170347003154574,0.17337539432176657,0.04151419558359622,1.0,1.0,20.0,0.42276014552783525
GloCare,3209,0.06170146463072608,0.2879401682767217,0.13462137737612964,0.03427859146151449,1.0,2.0,21.0,0.42071250399799576
Delta,25904,0.19139901173563928,0.10859326744904262,0.19780728844966028,0.01771927115503397,1.0,1.0,21.0,0.41401255651828245
Tesco,16565,0.2938122547539994,0.21189254452158165,0.1899185028674917,0.030908542106851795,2.0,1.0,21.0,0.4122761468416932
BofA_Help,6498,0.05878731917513081,0.1698984302862419,0.10280086180363189,0.01662049861495845,2.0,1.0,19.0,0.40974554511675204
O2,9485,0.3202952029520295,0.28950975224037956,0.1419082762256194,0.030680021085925144,1.0,1.0,22.0,0.40921791749882613
AskeBay,5530,0.31139240506329113,0.344122965641953,0.1298372513562387,0.03471971066907776,1.0,1.0,22.0,0.40883113898135603
JetBlue,5140,0.12295719844357976,0.19649805447470817,0.19552529182879377,0.04182879377431906,1.0,1.0,21.0,0.4081538960891329
AdobeCare,5085,0.12920353982300886,0.1950835791543756,0.1767944936086529,0.04129793510324484,1.0,1.0,21.0,0.40646791957908524
VirginAtlantic,2747,0.09173643975245722,0.22642883145249362,0.2522752093192574,0.052420822715689847,1.0,2.0,21.0,0.40620410784335526
Uber_Support,41848,0.30919040336455744,0.11274134964633913,0.08076849550755114,0.005854521124068056,1.0,1.0,22.0,0.40551927423917083
nationalrailenq,2154,0.004642525533890436,0.19637883008356546,0.25162488393686167,0.04688950789229341,2.0,2.0,19.0,0.40498545688665
VerizonSupport,8072,0.091798810703667,0.13961843409316155,0.11719524281466799,0.01672447968285431,1.0,2.0,20.0,0.4044263022958125
HPSupport,3839,0.3203959364417817,0.4050533993227403,0.06407918728835635,0.014847616566814275,2.0,1.0,18.0,0.4032010419237101
